Brand Name,Manufacturer,BC
'1809' ALE,B UNITED INTERNATIONAL INC,245
'T GAVERHOPKE BITTER SWEET SYMPHONY,TWELVE PERCENT LLC,760
'T GAVERHOPKE EXTRA,TWELVE PERCENT LLC,760
'T GAVERHOPKE SINGING BLOND,TWELVE PERCENT LLC,760
'T SMISJE BLOND,B UNITED INTERNATIONAL INC,245
'T SMISJE CATHERINE THE GREAT,B UNITED INTERNATIONAL INC,245
'TELL ME RYE' GOLDEN ALE (OPO),CARLISLE PUBS INC,511
12 DOGS OF CHRISTMAS ALE,THIRSTY DOG BREWING COMPANY,603
120 MINUTE IPA,DOGFISH HEAD CRAFT BREWERY INC,334
13TH CENTURY GRUT BIER,B UNITED INTERNATIONAL INC,245
13TH PLANK PALE ALE (OPO),JEDD ENTERPRISE INC,943
16 MILE INLET INDIA PALE ALE,16 MILE BREWING COMPANY INC,827
16 MILE RESPONDERS ALE,16 MILE BREWING COMPANY INC,827
16 MILE TILLER BROWN ALE,16 MILE BREWING COMPANY INC,827
16 TON INDIA PALE ALE,BREAKER BREWING COMPANY,774
1845 PILS,MOUNTAIN CREST SRL LLC,690
1847 RYE STOUT,LAVERY BREWING COMPANY LLC,816
1906 SPECIAL RESERVE,BALEARIC BEVERAGE DISTRIBUTOR INC,977
2000 TRIPPEL,LAWRENCEVILLE BREWERY INC,309
2012 DOUBLE BASTARD ALE W/DARK TOASTED OAK,KOOCHENVAGNER'S BREWING COMPANY,517
21ST AMENDEMENT LOWER DEBOOM BARLEYWINE STYLE ALE,21ST AMENDMENT BREWERY CAFE LLC,781
21ST AMENDMENT ALMOND MILK PORTER,21ST AMENDMENT BREWERY CAFE LLC,781
21ST AMENDMENT HE SAID BALTIC STYLE PORTER,21ST AMENDMENT BREWERY CAFE LLC,781
21ST AMENDMENT HE SAID BELGIAN STYLE TRIPEL,21ST AMENDMENT BREWERY CAFE LLC,781
21ST AMENDMENT HEKET EGYPTIAN ALE,21ST AMENDMENT BREWERY CAFE LLC,781
21ST AMENDMENT KILT BY WILDFIRE,21ST AMENDMENT BREWERY CAFE LLC,781
21ST AMENDMENT MAROONED ON HOG ISLAND OYSTER STOUT,21ST AMENDMENT BREWERY CAFE LLC,781
21ST AMENDMENT SNEAK ATTACK SAISON,21ST AMENDMENT BREWERY CAFE LLC,781
21ST AMENDMENT SPECIAL ALE,21ST AMENDMENT BREWERY CAFE LLC,781
25 DODICI NATALE,B UNITED INTERNATIONAL INC,245
3 GUYS & A BEER'D BLACK IPA,3 GUYS & A BEERD LLC,906
3 GUYS & A BEER'D CHEWHOPPA,3 GUYS & A BEERD LLC,906
3 GUYS & A BEER'D DE-ICER,3 GUYS & A BEERD LLC,906
3 GUYS & A BEER'D MALARKEY,3 GUYS & A BEERD LLC,906
3 GUYS & A BEER'D NUT BROWN ALE,3 GUYS & A BEERD LLC,906
3 GUYS & A BEER'D OYSTER STOUT,3 GUYS & A BEERD LLC,906
3 GUYS & A BEER'D SHAVING CREAM ALE,3 GUYS & A BEERD LLC,906
3 GUYS & A BEER'D WET HOP PALE ALE,3 GUYS & A BEERD LLC,906
33 EXPORT BEER,LUNEAU USA INC,239
330 SUMMIT INDIA PALE ALE,THIRSTY DOG BREWING COMPANY,603
4 HANDS BONA FIDE RUSSIAN IMPERIAL STOUT,4 HANDS BREWING COMPANY LLC,929
4 HANDS CAST IRON OATMEAL BROWN ALE,4 HANDS BREWING COMPANY LLC,929
4 HANDS DIVIDED SKY RYE IPA,4 HANDS BREWING COMPANY LLC,929
